"source" "amenities" "bathrooms" "bedrooms" "has_photo" "pets_allowed" "price" "square_feet" "latitude" "longitude" "amenities2" "has_photo2" "pets_allowed2" "price_category" "source2"
"GoSection8" 2 1 2 "Thumbnail" "None" 2281 624 37.9407 -122.3533 "Basic" 1 0 "High" 1
"GoSection8" 5 1.5 2 "Thumbnail" "None" 668 930 35.3169 -118.9749 "Basic" 1 0 "Low" 1
"GoSection8" 4 2 2 "Thumbnail" "None" 2100 1121 38.1623 -122.2494 "Basic" 1 0 "High" 1
"GoSection8" 4 2 2 "Thumbnail" "None" 2250 1196 41.0905 -73.4311 "Basic" 1 0 "High" 1
"GoSection8" 1 1 2 "No" "None" 1200 880 26.1481 -80.2271 "Basic" 0 0 "Medium" 1
"GoSection8" 2 2 2 "No" "None" 1350 914 25.3801 -80.4041 "Basic" 0 0 "Medium" 1
"GoSection8" 5 2 3 "Thumbnail" "None" 1092 1377 29.67 -95.1984 "Basic" 1 0 "Medium" 1
"GoSection8" 3 1 3 "No" "None" 1069 1008 35.1825 -111.6031 "Basic" 0 0 "Medium" 1
"GoSection8" 4 1 2 "Thumbnail" "None" 1075 964 37.6249 -77.4948 "Basic" 1 0 "Medium" 1
"GoSection8" 4 1 1 "Thumbnail" "None" 1000 600 26.6138 -80.0897 "Basic" 1 0 "Medium" 1
"GoSection8" 3 1 2 "Thumbnail" "None" 760 801 41.6475 -93.4713 "Basic" 1 0 "Low" 1
"GoSection8" 6 2 3 "Thumbnail" "None" 1850 1321 26.2418 -80.258 "Comfort" 1 0 "High" 1
"GoSection8" 4 1 1 "Thumbnail" "None" 804 715 33.8335 -112.1292 "Basic" 1 0 "Low" 1
"GoSection8" 4 2 3 "Thumbnail" "None" 1300 1176 37.6249 -77.4948 "Basic" 1 0 "Medium" 1
"GoSection8" 4 2 2 "Thumbnail" "None" 1240 900 26.6138 -80.0897 "Basic" 1 0 "Medium" 1
"GoSection8" 2 1 2 "No" "None" 2350 735 34.2931 -119.2941 "Basic" 0 0 "High" 1
"GoSection8" 2 1 1 "Thumbnail" "None" 510 500 38.0604 -84.4531 "Basic" 1 0 "Low" 1
"GoSection8" 2 1 2 "No" "None" 2100 925 37.7931 -122.2429 "Basic" 0 0 "High" 1
"GoSection8" 1 1 2 "Thumbnail" "None" 632 801 35.5017 -96.8974 "Basic" 1 0 "Low" 1
"GoSection8" 1 1 2 "Thumbnail" "None" 1028 700 27.7324 -82.668 "Basic" 1 0 "Medium" 1
"GoSection8" 2 1 1 "Thumbnail" "None" 630 625 38.0604 -84.4531 "Basic" 1 0 "Low" 1
"GoSection8" 1 1 2 "No" "None" 1300 718 25.6065 -80.3458 "Basic" 0 0 "Medium" 1
"GoSection8" 5 2 3 "No" "None" 1112 1313 29.9414 -95.3445 "Basic" 0 0 "Medium" 1
"GoSection8" 4 1 1 "No" "None" 849 405 33.4993 -111.9838 "Basic" 0 0 "Low" 1
"GoSection8" 1 1 1 "Thumbnail" "None" 550 600 42.418 -83.1068 "Basic" 1 0 "Low" 1
"GoSection8" 3 1.5 3 "Thumbnail" "None" 975 1092 41.6475 -93.4713 "Basic" 1 0 "Medium" 1
"GoSection8" 3 1 1 "Thumbnail" "None" 600 700 38.7462 -90.2116 "Basic" 1 0 "Low" 1
"GoSection8" 2 1 1 "Thumbnail" "None" 629 660 41.6023 -83.6297 "Basic" 1 0 "Low" 1
"GoSection8" 1 1 2 "Thumbnail" "None" 900 1000 41.6938 -87.6214 "Basic" 1 0 "Low" 1
"GoSection8" 1 1 2 "Thumbnail" "None" 820 808 39.022 -94.4645 "Basic" 1 0 "Low" 1
"Home Rentals" 2 1 1 "Thumbnail" "None" 975 700 30.3241 -81.6809 "Basic" 1 0 "Medium" 2
"Listanza" 1 2 2 "Thumbnail" "None" 2400 1400 41.8989 -87.6562 "Basic" 1 0 "High" 3
"Listanza" 3 1 1 "Thumbnail" "None" 1100 1567 42.2329 -83.2689 "Basic" 1 0 "Medium" 3
"Listanza" 7 1.5 2 "Thumbnail" "Cats" 1950 980 32.7415 -117.128 "Comfort" 1 1 "High" 3
"Listanza" 2 2 3 "Thumbnail" "None" 1600 1760 45.8162 -111.1579 "Basic" 1 0 "Medium" 3
"Listanza" 6 1 1 "Thumbnail" "None" 1714 935 32.787 -96.7983 "Comfort" 1 0 "High" 3
"Listanza" 6 1 1 "Thumbnail" "None" 1850 785 33.5052 -117.6573 "Comfort" 1 0 "High" 3
"Listanza" 4 1 2 "Thumbnail" "None" 1900 1200 42.4299 -71.0581 "Basic" 1 0 "High" 3
"Listanza" 1 1 2 "Thumbnail" "None" 2495 925 34.1056 -118.3668 "Basic" 1 0 "High" 3
"Listanza" 7 1 3 "Thumbnail" "Cats,Dogs" 2800 1213 33.843 -118.0073 "Comfort" 1 2 "High" 3
"Listanza" 7 1.5 2 "Thumbnail" "None" 2200 1164 33.8154 -118.037 "Comfort" 1 0 "High" 3
"Listanza" 1 1 2 "Thumbnail" "None" 895 1400 43.5884 -96.5752 "Basic" 1 0 "Low" 3
"Listanza" 6 2 2 "Thumbnail" "None" 1850 1195 32.8004 -96.7887 "Comfort" 1 0 "High" 3
"Listanza" 5 1 1 "Thumbnail" "None" 2475 130 40.7629 -73.9885 "Basic" 1 0 "High" 3
"Listanza" 1 1 3 "Thumbnail" "Cats" 800 1400 42.3706 -83.1003 "Basic" 1 1 "Low" 3
"Listanza" 7 2 3 "Thumbnail" "None" 2495 1250 32.9669 -117.1218 "Comfort" 1 0 "High" 3
"Listanza" 4 1 2 "Thumbnail" "None" 1895 884 33.8375 -118.0012 "Basic" 1 0 "High" 3
"Listanza" 1 1 3 "Thumbnail" "None" 2750 1300 42.2947 -71.1305 "Basic" 1 0 "High" 3
"Listanza" 1 1 1 "Thumbnail" "None" 1200 550 42.4194 -71.111 "Basic" 1 0 "Medium" 3
"ListedBuy" 2 1 2 "Thumbnail" "None" 910 870 41.031 -111.942 "Basic" 1 0 "Low" 4
"ListedBuy" 3 1 2 "Thumbnail" "None" 702 810 39.7528 -84.1744 "Basic" 1 0 "Low" 4
"ListedBuy" 7 2 3 "Thumbnail" "None" 1120 1369 38.2211 -84.563 "Comfort" 1 0 "Medium" 4
"ListedBuy" 1 1 1 "Thumbnail" "None" 1825 750 33.9531 -118.3454 "Basic" 1 0 "High" 4
"ListedBuy" 1 2 2 "Thumbnail" "None" 1675 1120 30.6554 -91.1346 "Basic" 1 0 "Medium" 4
"ListedBuy" 1 1 2 "Thumbnail" "None" 1295 675 48.0724 -122.1829 "Basic" 1 0 "Medium" 4
"ListedBuy" 1 1 2 "Thumbnail" "None" 950 870 44.9545 -123.0072 "Basic" 1 0 "Medium" 4
"ListedBuy" 2 2 3 "Thumbnail" "None" 1495 1570 40.5425 -111.9637 "Basic" 1 0 "Medium" 4
"ListedBuy" 1 1 2 "Thumbnail" "None" 850 700 27.4229 -80.3552 "Basic" 1 0 "Low" 4
"ListedBuy" 5 1 2 "Thumbnail" "None" 990 896 29.8798 -90.068 "Basic" 1 0 "Medium" 4
"ListedBuy" 2 2 2 "Thumbnail" "Cats,Dogs" 1675 1187 38.7418 -77.4684 "Basic" 1 2 "Medium" 4
"ListedBuy" 2 1 1 "Thumbnail" "None" 1795 800 33.9531 -118.3454 "Basic" 1 0 "High" 4
"ListedBuy" 1 3.5 4 "Thumbnail" "None" 1695 3400 33.6642 -95.5327 "Basic" 1 0 "Medium" 4
"ListedBuy" 1 2 3 "Thumbnail" "Cats,Dogs" 1425 1269 48.4168 -103.8238 "Basic" 1 2 "Medium" 4
"ListedBuy" 1 1 1 "Thumbnail" "None" 1100 728 34.1334 -117.292 "Basic" 1 0 "Medium" 4
"ListedBuy" 3 2 3 "Thumbnail" "None" 1650 1162 25.4867 -80.4599 "Basic" 1 0 "Medium" 4
"ListedBuy" 1 1 2 "Thumbnail" "None" 595 1845 35.5427 -100.9644 "Basic" 1 0 "Low" 4
"ListedBuy" 12 1 1 "Thumbnail" "None" 917 497 38.8562 -104.772 "Luxury" 1 0 "Low" 4
"ListedBuy" 2 1 2 "Thumbnail" "None" 640 724 39.0685 -84.4725 "Basic" 1 0 "Low" 4
"ListedBuy" 3 1.5 2 "Thumbnail" "None" 800 725 33.8994 -98.528 "Basic" 1 0 "Low" 4
"ListedBuy" 2 2 2 "Thumbnail" "None" 1088 1123 41.3675 -82.1146 "Basic" 1 0 "Medium" 4
"ListedBuy" 8 2 3 "Thumbnail" "None" 950 1300 39.76 -94.8272 "Comfort" 1 0 "Medium" 4
"ListedBuy" 4 1 1 "Thumbnail" "None" 795 639 44.9545 -123.0072 "Basic" 1 0 "Low" 4
"ListedBuy" 2 2 2 "Thumbnail" "None" 1214 900 29.2828 -94.8253 "Basic" 1 0 "Medium" 4
"ListedBuy" 3 1 2 "Thumbnail" "None" 513 865 39.438 -78.9805 "Basic" 1 0 "Low" 4
"ListedBuy" 10 2 2 "Thumbnail" "None" 1425 1058 40.4067 -105.0984 "Comfort" 1 0 "Medium" 4
"ListedBuy" 1 1 3 "Thumbnail" "Cats,Dogs" 1550 1050 41.7773 -72.5249 "Basic" 1 2 "Medium" 4
"ListedBuy" 2 2 3 "Thumbnail" "None" 800 1105 36.2528 -116.0181 "Basic" 1 0 "Low" 4
"ListedBuy" 1 1 2 "Thumbnail" "None" 799 888 42.6808 -89.0286 "Basic" 1 0 "Low" 4
"ListedBuy" 2 2 2 "Thumbnail" "None" 1000 1100 26.612 -81.9728 "Basic" 1 0 "Medium" 4
"ListedBuy" 3 1 2 "Thumbnail" "None" 600 804 35.8635 -101.9666 "Basic" 1 0 "Low" 4
"ListedBuy" 4 2 2 "Thumbnail" "Cats,Dogs" 2752 1288 34.0718 -84.2525 "Basic" 1 2 "High" 4
"ListedBuy" 6 2 3 "Thumbnail" "None" 1369 1334 36.0808 -79.4527 "Comfort" 1 0 "Medium" 4
"ListedBuy" 1 1 3 "Thumbnail" "None" 1195 1500 41.2321 -111.9813 "Basic" 1 0 "Medium" 4
"ListedBuy" 4 1 2 "Thumbnail" "None" 795 840 31.7951 -106.3886 "Basic" 1 0 "Low" 4
"ListedBuy" 4 2 2 "Thumbnail" "None" 2365 1239 42.6008 -71.2226 "Basic" 1 0 "High" 4
"ListedBuy" 2 1 1 "Thumbnail" "None" 750 950 40.3375 -75.9336 "Basic" 1 0 "Low" 4
"ListedBuy" 3 1 2 "Thumbnail" "Cats,Dogs" 850 900 40.2854 -83.0595 "Basic" 1 2 "Low" 4
"ListedBuy" 3 2 2 "Thumbnail" "None" 1476 885 38.2722 -76.4664 "Basic" 1 0 "Medium" 4
"ListedBuy" 1 2 2 "Thumbnail" "None" 1774 1100 38.835 -77.4652 "Basic" 1 0 "High" 4
"ListedBuy" 1 1 2 "Thumbnail" "None" 995 876 44.9545 -123.0072 "Basic" 1 0 "Medium" 4
"ListedBuy" 1 1 3 "Thumbnail" "None" 850 1150 43.047 -76.156 "Basic" 1 0 "Low" 4
"ListedBuy" 1 1 2 "Thumbnail" "None" 925 1200 44.8956 -122.5661 "Basic" 1 0 "Low" 4
"ListedBuy" 1 1 2 "Thumbnail" "None" 1200 845 25.933 -80.2624 "Basic" 1 0 "Medium" 4
"ListedBuy" 3 2 3 "Thumbnail" "None" 1119 1137 29.5364 -81.2274 "Basic" 1 0 "Medium" 4
"ListedBuy" 2 1 1 "Thumbnail" "Cats,Dogs" 665 610 40.2874 -84.1585 "Basic" 1 2 "Low" 4
"ListedBuy" 5 1 2 "Thumbnail" "None" 880 880 29.6803 -95.1845 "Basic" 1 0 "Low" 4
"ListedBuy" 10 2.5 3 "Thumbnail" "None" 1431 1246 40.2854 -83.0595 "Comfort" 1 0 "Medium" 4
"ListedBuy" 4 1 2 "Thumbnail" "None" 695 800 39.0805 -94.3997 "Basic" 1 0 "Low" 4
"ListedBuy" 4 1 2 "Thumbnail" "None" 1200 725 40.6498 -111.9625 "Basic" 1 0 "Medium" 4
"ListedBuy" 12 2 2 "Thumbnail" "None" 955 991 31.5215 -110.2634 "Luxury" 1 0 "Medium" 4
"ListedBuy" 2 2 3 "Thumbnail" "None" 1000 1870 43.6309 -84.2394 "Basic" 1 0 "Medium" 4
"ListedBuy" 3 2 2 "Thumbnail" "None" 645 936 36.5311 -82.5209 "Basic" 1 0 "Low" 4
"ListedBuy" 1 1 1 "Thumbnail" "None" 1000 610 26.6045 -80.1102 "Basic" 1 0 "Medium" 4
"ListedBuy" 3 2 2 "Thumbnail" "None" 1325 803 34.0985 -117.466 "Basic" 1 0 "Medium" 4
"ListedBuy" 5 1 1 "Thumbnail" "None" 953 752 35.7238 -78.8695 "Basic" 1 0 "Medium" 4
"ListedBuy" 3 1 1 "Thumbnail" "None" 1100 1000 44.5024 -73.0892 "Basic" 1 0 "Medium" 4
"ListedBuy" 1 2 2 "Thumbnail" "None" 2690 1295 42.6484 -71.1615 "Basic" 1 0 "High" 4
"ListedBuy" 1 1 3 "Thumbnail" "None" 1475 1000 41.1908 -73.1965 "Basic" 1 0 "Medium" 4
"ListedBuy" 1 1 3 "Thumbnail" "None" 1850 1100 42.0876 -71.025 "Basic" 1 0 "High" 4
"ListedBuy" 1 1 2 "Thumbnail" "None" 2000 1200 41.111 -73.4219 "Basic" 1 0 "High" 4
