"province" "country" "latitude" "longitude"
"Washington" "United States" 48.04818 -121.696
"Washington" "United States" 48.04818 -121.696
"Washington" "United States" 48.04818 -121.696
"Washington" "United States" 48.04818 -121.696
"Washington" "United States" 48.04818 -121.696
"Washington" "United States" 48.82612882 -121.7192928
"Colorado" "United States" 39.21730177 -106.9152836
"Maine" "United States" 43.84843083 -70.40837299
"Maine" "United States" 43.84843083 -70.40837299
"Maine" "United States" 44.16620958 -70.20663187
"New Hampshire" "United States" 42.98656903 -71.12922845
"Massachusetts" "United States" 42.37182695 -73.20721759
"Massachusetts" "United States" 42.37182695 -73.20721759
"Massachusetts" "United States" 42.67259231 -70.95615369
"Massachusetts" "United States" 42.48609196 -71.39239708
"California" "United States" 34.05 -118.25
"Massachusetts" "United States" 42.48609196 -71.39239708
"Massachusetts" "United States" 42.48609196 -71.39239708
"Arizona" "United States" 33.41278 -111.943
"Massachusetts" "United States" 42.48609196 -71.39239708
"Massachusetts" "United States" 42.48609196 -71.39239708
"Massachusetts" "United States" 42.33170089 -71.07343455
"Massachusetts" "United States" 42.16118 -71.2101
"Massachusetts" "United States" 42.16118 -71.2101
"Massachusetts" "United States" 42.33170089 -71.07343455
"Massachusetts" "United States" 42.33170089 -71.07343455
"Pennsylvania" "United States" 39.91745099 -75.39947394
"Pennsylvania" "United States" 41.05851592 -75.33787891
"Pennsylvania" "United States" 40.21122015 -75.36693918
"Pennsylvania" "United States" 40.21122015 -75.36693918
"Pennsylvania" "United States" 40.21122015 -75.36693918
"Pennsylvania" "United States" 41.33297656 -75.03351688
"Pennsylvania" "United States" 40.00826241 -75.1354419
"Maryland" "United States" 39.56285186 -77.02238246
"Maryland" "United States" 39.44719107 -76.6393171
"Maryland" "United States" 39.00670062 -76.61160113
"Maryland" "United States" 38.50748692 -76.98965983
"Maryland" "United States" 38.83324914 -76.84541021
"Maryland" "United States" 38.83324914 -76.84541021
"Alaska" "United States" 61.2181 -149.9003
"Ohio" "United States" 41.31714604 -80.76084268
"Ohio" "United States" 41.42464273 -81.65878238
"Ohio" "United States" 41.42464273 -81.65878238
"Texas" "United States" 29.4484436 -98.5200992
"Ohio" "United States" 41.42464273 -81.65878238
"Ohio" "United States" 40.81419933 -81.36560546
"Ohio" "United States" 40.01572711 -80.98785836
"Ohio" "United States" 40.01572711 -80.98785836
"Ohio" "United States" 39.43865195 -84.5755015
"Ohio" "United States" 41.12582893 -81.53194864
"Oregon" "United States" 44.48950195 -122.5339067
"Oregon" "United States" 44.48950195 -122.5339067
"Oregon" "United States" 44.48950195 -122.5339067
"Colorado" "United States" 39.58574402 -105.2483919
"Oregon" "United States" 44.48950195 -122.5339067
"Oregon" "United States" 44.48950195 -122.5339067
"Oregon" "United States" 44.48950195 -122.5339067
"Oregon" "United States" 45.1890785 -122.2204889
"Oregon" "United States" 45.5601 -123.099
"Oregon" "United States" 45.5601 -123.099
"Colorado" "United States" 39.62837984 -106.6953457
"Colorado" "United States" 39.62837984 -106.6953457
"Colorado" "United States" 39.62837984 -106.6953457
"Colorado" "United States" 39.62837984 -106.6953457
"Colorado" "United States" 39.62837984 -106.6953457
"Colorado" "United States" 39.75909189 -104.8761799
"Colorado" "United States" 39.75909189 -104.8761799
"Colorado" "United States" 38.66618936 -107.0295176
"Colorado" "United States" 39.58574402 -105.2483919
"Colorado" "United States" 39.62837984 -106.6953457
"Colorado" "United States" 39.87349593 -104.3381815
"Colorado" "United States" 39.75909189 -104.8761799
"Colorado" "United States" 39.87349593 -104.3381815
"Colorado" "United States" 39.62837984 -106.6953457
"Colorado" "United States" 39.21730177 -106.9152836
"New Mexico" "United States" 35.05211207 -106.6656831
"New Mexico" "United States" 35.50925306 -105.9738467
"Texas" "United States" 29.85893327 -95.39707324
"Oklahoma" "United States" 34.58705952 -99.41568492
"Kansas" "United States" 38.88362378 -94.82234639
"Kansas" "United States" 38.88362378 -94.82234639
"Kansas" "United States" 38.88362378 -94.82234639
"Nebraska" "United States" 40.90971286 -96.14085427
"Minnesota" "United States" 45.01977974 -93.09952775
"Minnesota" "United States" 45.00652234 -93.47836029
"Minnesota" "United States" 44.67284514 -93.06756945
"Minnesota" "United States" 45.55386531 -94.61265959
"Iowa" "United States" 41.67180992 -91.58862202
"Iowa" "United States" 42.03572033 -94.86128637
"Missouri" "United States" 37.209 -93.2923
"Arkansas" "United States" 34.6464201 -92.67676509
